0,musk1norm,tiger,elephant,musk2norm,fox
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.10_noise_hinge,0.85037,0.823333,0.83,nan,0.563333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.50_noise_hinge,0.771111,0.795,0.83,nan,0.57
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.01_noise_hinge,0.83,0.786667,0.82,nan,0.585
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_2.00_noise_hinge,0.847037,0.795,0.815,nan,0.576667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_1.00_noise_hinge,0.794074,0.77,0.823333,nan,0.56
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.01_noise_hinge,0.773333,0.775,0.836667,nan,0.553333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.50_noise_hinge,0.784074,0.773333,0.855,nan,0.531667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.50_noise_hinge,0.75963,0.773333,0.831667,nan,0.521667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.01_noise_hinge,0.787037,0.83,0.843333,nan,0.531667
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.05_noise_hinge,0.847778,0.848333,0.826667,nan,0.556667
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.01_noise,0.826667,0.765,0.828333,0.789697,0.52
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.50_noise,0.791852,0.745,0.76,0.80303,0.506667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.01_noise_hinge,0.832963,0.763333,0.811667,nan,0.543333
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_1.00_noise_hinge,0.857037,0.823333,0.806667,nan,0.538333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_1.00_noise_hinge,0.782593,0.79,0.843333,nan,0.548333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.01_noise_hinge,0.786667,nan,nan,nan,0.551667
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.05_noise,0.835556,0.823333,0.82,0.824242,0.528333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.50_noise_hinge,0.727037,0.785,0.831667,nan,0.555
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.10_noise_hinge,0.775185,0.801667,0.83,nan,0.563333
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.50_noise,0.862963,0.785,0.803333,0.781212,0.505
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.01_noise_hinge,0.788519,nan,nan,nan,0.571667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise,0.821111,0.773333,0.79,0.759394,0.511667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.50_noise_hinge,0.807778,0.8,0.81,0.785152,0.573333
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.05_noise,0.822963,0.771667,0.81,0.776667,0.501667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.01_noise_hinge,0.806296,0.803333,0.84,nan,0.548333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.01_noise_hinge,0.811111,0.763333,0.818333,nan,0.55
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.05_noise,0.8,0.816667,0.795,0.808485,0.508333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.10_noise_hinge,0.817037,0.791667,0.811667,nan,0.58
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_2.00_noise_hinge,0.783704,0.791667,0.81,nan,0.571667
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.50_noise,0.811481,0.775,0.793333,0.802424,0.506667
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.05_noise,0.837778,0.785,0.796667,0.74697,0.518333
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.50_noise,0.866296,0.828333,0.825,0.806667,0.546667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise,0.816296,0.781667,0.781667,0.782121,0.513333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_2.00_noise_hinge,0.772593,0.775,nan,nan,0.57
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.10_noise_hinge,0.828519,0.791667,0.805,nan,0.543333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.50_noise_hinge,0.818148,0.793333,0.813333,0.769697,0.548333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.50_noise_hinge,0.814074,0.778333,0.825,0.798485,0.548333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_2.00_noise_hinge,0.83037,0.785,0.831667,nan,0.53
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.10_noise_hinge,0.769259,0.775,0.835,nan,0.576667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_2.00_noise_hinge,0.781481,0.801667,0.805,nan,0.563333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.50_noise_hinge,0.741852,0.796667,0.826667,nan,0.523333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.05_noise_hinge,0.765185,0.776667,nan,nan,0.53
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_2.00_noise_hinge,0.752222,0.788333,0.846667,nan,0.538333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.01_noise_hinge,0.797037,nan,nan,nan,0.576667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.10_noise_hinge,0.768148,nan,nan,nan,0.518333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_2.00_noise_hinge,0.784444,0.783333,nan,nan,0.563333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.50_noise_hinge,0.825926,0.795,0.803333,0.79,0.561667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.01_noise,0.837407,0.79,0.788333,0.794545,0.508333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.05_noise_hinge,0.785185,0.795,0.818333,nan,0.543333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_2.00_noise_hinge,0.793704,0.791667,nan,nan,0.548333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_1.00_noise_hinge,0.772593,0.766667,0.841667,nan,0.52
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_1.00_noise_hinge,0.795556,0.78,0.811667,nan,0.543333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.01_noise_hinge,0.8,0.763333,0.796667,nan,0.561667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.01_noise_hinge,0.843704,0.771667,0.826667,nan,0.548333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_1.00_noise_hinge,0.788148,0.776667,0.816667,nan,0.535
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_1.00_noise_hinge,0.781481,0.79,0.843333,nan,0.55
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.05_noise_hinge,0.768148,0.773333,nan,nan,0.536667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.50_noise_hinge,0.770741,0.803333,0.816667,nan,0.558333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise_hinge,0.803704,0.755,0.823333,nan,0.528333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.01_noise_hinge,0.736296,0.793333,0.841667,nan,0.568333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.01_noise_hinge,0.78,0.806667,0.843333,nan,0.541667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.01_noise_hinge,0.803333,0.795,0.793333,nan,0.588333
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.10_noise,0.783333,0.763333,0.811667,0.757576,0.505
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.10_noise_hinge,0.775556,0.8,0.823333,nan,0.573333
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.50_noise_hinge,0.858889,0.83,0.816667,0.831212,0.523333
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_1.00_noise_hinge,0.81037,0.823333,0.83,nan,0.57
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_2.00_noise_hinge,0.759259,0.78,0.806667,nan,0.531667
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.10_noise,0.803704,0.796667,0.803333,0.755455,0.521667
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.01_noise,0.861852,0.771667,0.8,0.784848,0.506667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_2.00_noise_hinge,0.778148,0.788333,0.83,nan,0.531667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_1.00_noise_hinge,0.775185,0.785,0.813333,nan,0.55
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.10_noise_hinge,0.855556,0.835,0.813333,nan,0.518333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.50_noise_hinge,0.778519,0.795,0.826667,nan,0.573333
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_1.00_noise_hinge,0.865926,0.851667,0.811667,0.831818,0.561667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.10_noise_hinge,0.780741,0.77,0.821667,nan,0.558333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.05_noise_hinge,0.768148,0.791667,0.826667,nan,0.545
PCA_mean,0.73963,0.756667,0.796667,0.76697,0.508333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.05_noise_hinge,0.834074,0.79,0.83,nan,0.545
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.01_noise_hinge,0.771481,nan,nan,nan,0.54
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.05_noise,0.81037,0.776667,0.775,0.787273,0.506667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.05_noise_hinge,0.765556,0.795,0.821667,nan,0.535
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.50_noise,0.802222,0.763333,0.763333,0.779697,0.501667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.10_noise_hinge,0.768519,0.755,nan,nan,0.565
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_2.00_noise_hinge,0.763333,0.803333,nan,nan,0.548333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.10_noise_hinge,0.785185,0.778333,0.81,nan,0.556667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_1.00_noise_hinge,0.79,0.783333,0.813333,nan,0.541667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_1.00_noise_hinge,0.766667,0.785,0.846667,nan,0.535
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.01_noise,0.867037,0.811667,0.803333,0.81697,0.513333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.05_noise_hinge,0.847778,0.778333,0.83,nan,0.566667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_1.00_noise_hinge,0.755926,0.778333,0.823333,nan,0.533333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.50_noise_hinge,0.776667,0.785,0.811667,nan,0.57
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.01_noise_hinge,0.868889,0.825,0.806667,nan,0.561667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_1.00_noise_hinge,0.782222,0.778333,0.826667,nan,0.536667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_1.00_noise_hinge,0.85963,0.763333,0.831667,0.777273,0.563333
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.10_noise,0.871852,0.791667,0.781667,0.783636,0.51
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.10_noise_hinge,0.760741,nan,nan,nan,0.59
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_1.00_noise_hinge,0.792963,0.773333,0.826667,nan,0.571667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.05_noise_hinge,0.835926,0.778333,0.79,nan,0.558333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.50_noise_hinge,0.786667,0.775,0.836667,nan,0.556667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.01_noise_hinge,0.782593,0.765,0.828333,nan,0.558333
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.84037,0.808333,0.823333,nan,0.523333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.50_noise_hinge,0.782593,0.786667,0.826667,0.76697,0.566667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.80037,0.803333,0.833333,nan,0.521667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise_hinge,0.762963,0.758333,nan,nan,0.583333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.50_noise_hinge,0.795926,0.788333,0.818333,0.782424,0.573333
